geneID,Gene.Name,Gene.stable.ID,Subject.sequence.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein.annotations
gene3521,uhrf1bp1l,ENSPMEG00000002051,sp|A0JNW5|UH1BL_HUMAN,233.3041777,-0.369972599,0.154155202,-2.400000738,0.016395039,0.087484191,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2
gene7176,LOC106918488,ENSPMEG00000002419,sp|P07203|GPX1_HUMAN,1522.955212,-0.345444906,0.143925416,-2.400166108,0.016387634,0.087484191,Glutathione peroxidase 1 OS=Homo sapiens GN=GPX1 PE=1 SV=4
gene9233,tspan31,ENSPMEG00000013626,sp|Q12999|TSN31_HUMAN,163.5411537,-0.393199189,0.16383189,-2.400016201,0.016394346,0.087484191,Tetraspanin-31 OS=Homo sapiens GN=TSPAN31 PE=2 SV=1
gene17300,fstl3,ENSPMEG00000009100,sp|O95633|FSTL3_HUMAN,126.5873908,0.935774853,0.389963984,2.399644303,0.01641101,0.08750339,Follistatin-related protein 3 OS=Homo sapiens GN=FSTL3 PE=1 SV=1
gene6837,LOC106918111,ENSPMEG00000016161,sp|P28347|TEAD1_HUMAN,39.35734078,0.831967902,0.346697398,2.399694682,0.016408752,0.08750339,Transcriptional enhancer factor TEF-1 OS=Homo sapiens GN=TEAD1 PE=1 SV=2
gene6308,LOC106917540,NA,NA,55.94052799,0.921324666,0.383928044,2.399732659,0.01640705,0.08750339,NA
gene4700,LOC106915770,ENSPMEG00000006885,sp|P30519|HMOX2_HUMAN,609.3244602,-0.321133543,0.133861888,-2.398991584,0.016440293,0.087637499,Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2
gene5071,LOC106916181,NA,sp|Q96MC6|HIAT1_HUMAN,23.30969311,-0.796657461,0.332115802,-2.398733987,0.016451862,0.08767714,Hippocampus abundant transcript 1 protein OS=Homo sapiens GN=HIAT1 PE=2 SV=2
gene27304,LOC106909131,NA,NA,53.14975539,-4.442038334,1.852850405,-2.397407973,0.016511528,0.087973023,NA
gene19523,LOC106931868,ENSPMEG00000014813,sp|P55210|CASP7_HUMAN,101.4104033,1.823046628,0.760519054,2.397108419,0.016525033,0.088022874,Caspase-7 OS=Homo sapiens GN=CASP7 PE=1 SV=1
gene2180,LOC106903864,ENSPMEG00000011271,sp|P56545|CTBP2_HUMAN,76.2563254,0.778257184,0.324749631,2.39648366,0.016553232,0.088150944,C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1
gene18320,rangap1,ENSPMEG00000018113,sp|P46060|RAGP1_HUMAN,359.091302,-0.353541755,0.147532181,-2.396370429,0.016558347,0.088156056,Ran GTPase-activating protein 1 OS=Homo sapiens GN=RANGAP1 PE=1 SV=1
gene6363,ccs,ENSPMEG00000012899,sp|O14618|CCS_HUMAN,126.9070484,-0.428381689,0.178834588,-2.395407366,0.016601909,0.088365804,Copper chaperone for superoxide dismutase OS=Homo sapiens GN=CCS PE=1 SV=1
gene23488,peak1,ENSPMEG00000011624,sp|Q9H792|PEAK1_HUMAN,306.2590492,0.519209321,0.216778235,2.395117397,0.016615045,0.08841354,Pseudopodium-enriched atypical kinase 1 OS=Homo sapiens GN=PEAK1 PE=1 SV=4
gene20868,LOC106933333,NA,sp|Q8N350|DOS_HUMAN,4.777651241,-1.977677467,0.826106228,-2.39397477,0.016666895,0.088667214,Protein Dos OS=Homo sapiens GN=DOS PE=1 SV=2
gene3994,LOC106915002,ENSPMEG00000008253,sp|Q7L804|RFIP2_HUMAN,2558.389535,-0.423857525,0.177063069,-2.393822303,0.016673825,0.088681841,Rab11 family-interacting protein 2 OS=Homo sapiens GN=RAB11FIP2 PE=1 SV=1
gene4781,caprin1,ENSPMEG00000003153,sp|Q14444|CAPR1_HUMAN,4121.505431,0.234231056,0.097860905,2.39351002,0.016688025,0.088735125,Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2
gene26823,LOC106908620,ENSPMEG00000016745,sp|Q7Z3E1|PARPT_HUMAN,151.1608716,0.548084283,0.229006153,2.393316837,0.016696816,0.088759619,TCDD-inducible poly [ADP-ribose] polymerase OS=Homo sapiens GN=TIPARP PE=2 SV=1
gene106,LOC106920593,ENSPMEG00000019888,sp|Q8NA92|THAP8_HUMAN,285.5599304,0.416221328,0.173933252,2.392994573,0.016711488,0.088815365,THAP domain-containing protein 8 OS=Homo sapiens GN=THAP8 PE=1 SV=1
gene19683,wdtc1,ENSPMEG00000010198,sp|Q8N5D0|WDTC1_HUMAN,281.4099096,0.372267804,0.155578402,2.392798731,0.01672041,0.088840528,WD and tetratricopeptide repeats protein 1 OS=Homo sapiens GN=WDTC1 PE=1 SV=2
gene23471,LOC106904991,ENSPMEG00000012135,NA,154.3253489,0.871932054,0.364491144,2.392189955,0.016748172,0.088949875,NA
gene20899,nosip,ENSPMEG00000013030,sp|Q9Y314|NOSIP_HUMAN,282.9346619,0.364853754,0.152520403,2.392163577,0.016749376,0.088949875,Nitric oxide synthase-interacting protein OS=Homo sapiens GN=NOSIP PE=1 SV=1
gene12509,usp49,ENSPMEG00000004387,sp|Q70CQ1|UBP49_HUMAN,134.2021619,-0.328933327,0.137552965,-2.391321238,0.016787857,0.089131925,Ubiquitin carboxyl-terminal hydrolase 49 OS=Homo sapiens GN=USP49 PE=1 SV=1
gene25704,asphd2,ENSPMEG00000006205,sp|Q6ICH7|ASPH2_HUMAN,129.6627849,0.553521965,0.231490931,2.391117282,0.016797186,0.089154975,Aspartate beta-hydroxylase domain-containing protein 2 OS=Homo sapiens GN=ASPHD2 PE=2 SV=1
gene10885,LOC106922510,NA,NA,98.41552113,-0.587708646,0.245795974,-2.39104261,0.016800603,0.089154975,NA
gene24349,LOC106905946,ENSPMEG00000007901,sp|P41231|P2RY2_HUMAN,16.97704597,-0.921792793,0.385593273,-2.390583179,0.016821638,0.08924428,P2Y purinoceptor 2 OS=Homo sapiens GN=P2RY2 PE=2 SV=4
gene2056,LOC106933764,NA,NA,9.416341201,-2.014658242,0.842856331,-2.390274793,0.016835771,0.089296929,NA
gene10968,cdc14a,ENSPMEG00000020430,sp|Q9UNH5|CC14A_HUMAN,240.7480807,0.433908395,0.181562148,2.389861535,0.016854726,0.089375122,Dual specificity protein phosphatase CDC14A OS=Homo sapiens GN=CDC14A PE=1 SV=1
gene16276,LOC106928384,ENSPMEG00000024397,sp|Q495W5|FUT11_HUMAN,26.471213,0.698617896,0.292339759,2.389746436,0.016860008,0.089380795,"Alpha-(1,3)-fucosyltransferase 11 OS=Homo sapiens GN=FUT11 PE=1 SV=1"
gene5543,ube2b,ENSPMEG00000016776,sp|P49459|UBE2A_HUMAN,275.059658,0.285473874,0.119491916,2.389064333,0.016891344,0.089502188,Ubiquitin-conjugating enzyme E2 A OS=Homo sapiens GN=UBE2A PE=1 SV=2
gene30346,LOC106912379,NA,NA,54.11570062,0.631356671,0.264267342,2.389083213,0.016890476,0.089502188,NA
gene21,cdc27,ENSPMEG00000024115,sp|P30260|CDC27_HUMAN,393.5927172,-0.230962866,0.096689564,-2.388705216,0.016907863,0.089546332,Cell division cycle protein 27 homolog OS=Homo sapiens GN=CDC27 PE=1 SV=2
gene9854,LOC106921417,NA,sp|P19474|RO52_HUMAN,38.28590574,-2.234952188,0.935635481,-2.388699694,0.016908117,0.089546332,E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens GN=TRIM21 PE=1 SV=1
gene6031,cad,ENSPMEG00000024258,sp|P27708|PYR1_HUMAN,312.5458647,-0.365177931,0.152896408,-2.38840098,0.016921868,0.089596792,CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3
gene8925,LOC106920380,NA,sp|O75626|PRDM1_HUMAN,94.64715865,0.711274766,0.297892079,2.387692782,0.016954508,0.089747216,PR domain zinc finger protein 1 OS=Homo sapiens GN=PRDM1 PE=1 SV=2
gene5332,LOC106916453,NA,NA,546.0888676,0.667399711,0.279565434,2.387275495,0.016973766,0.089826747,NA
gene8359,otud7a,ENSPMEG00000000117,sp|Q8TE49|OTU7A_HUMAN,72.69540129,-0.56975426,0.238709368,-2.386811479,0.016995204,0.089917766,OTU domain-containing protein 7A OS=Homo sapiens GN=OTUD7A PE=1 SV=1
gene10489,ndc80,ENSPMEG00000002039,sp|O14777|NDC80_HUMAN,141.944035,-0.41123825,0.172326445,-2.386390847,0.017014657,0.089998248,Kinetochore protein NDC80 homolog OS=Homo sapiens GN=NDC80 PE=1 SV=1
gene27379,prdm1,NA,sp|O75626|PRDM1_HUMAN,84.30024417,0.678409722,0.284320902,2.386070519,0.017029485,0.090054227,PR domain zinc finger protein 1 OS=Homo sapiens GN=PRDM1 PE=1 SV=2
gene28026,LOC106909915,NA,NA,19.11986359,3.392918263,1.42210992,2.385834045,0.017040439,0.090089696,NA
gene3996,adgra2,ENSPMEG00000008236,sp|Q96PE1|GP124_HUMAN,253.9450472,0.752325824,0.315445639,2.384961877,0.017080891,0.090258578,G-protein coupled receptor 124 OS=Homo sapiens GN=GPR124 PE=1 SV=2
gene3063,LOC106913980,ENSPMEG00000022475,sp|P49711|CTCF_HUMAN,1900.003977,-0.221508186,0.092874306,-2.385031931,0.017077639,0.090258578,Transcriptional repressor CTCF OS=Homo sapiens GN=CTCF PE=1 SV=1
gene1332,LOC106925090,ENSPMEG00000017651,sp|Q9UK00|CC018_HUMAN,88.75386937,-0.682057471,0.286082685,-2.384127066,0.01711969,0.090435105,Uncharacterized protein C3orf18 OS=Homo sapiens GN=C3orf18 PE=2 SV=2
gene14499,tsn,ENSPMEG00000023570,sp|Q15631|TSN_HUMAN,98.47194693,-0.496399453,0.208216031,-2.384059725,0.017122823,0.090435105,Translin OS=Homo sapiens GN=TSN PE=1 SV=1
gene18139,LOC106930371,ENSPMEG00000002737,sp|P14866|HNRPL_HUMAN,1206.103846,0.248832011,0.10437901,2.383927683,0.017128968,0.090444331,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2
gene28440,casc3,NA,sp|O15234|CASC3_HUMAN,210.4070449,-0.429457025,0.180153536,-2.383839003,0.017133096,0.090444331,Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2
gene9203,LOC106920687,ENSPMEG00000015204,sp|P04198|MYCN_HUMAN,680.290612,0.756761351,0.317471865,2.383711548,0.017139031,0.090453152,N-myc proto-oncogene protein OS=Homo sapiens GN=MYCN PE=1 SV=2
gene540,LOC106916577,NA,NA,29.23134792,-1.133634463,0.475594335,-2.383616412,0.017143461,0.090454035,NA
gene2727,LOC106910599,ENSPMEG00000013435,sp|O14493|CLD4_HUMAN,345.3768405,0.653158411,0.274063126,2.383240753,0.017160967,0.090523888,Claudin-4 OS=Homo sapiens GN=CLDN4 PE=1 SV=1
gene12969,cnpy4,ENSPMEG00000014550,sp|Q9BT09|CNPY3_HUMAN,13.52164662,-1.829171366,0.767798382,-2.382358974,0.017202119,0.090718411,Protein canopy homolog 3 OS=Homo sapiens GN=CNPY3 PE=1 SV=1
gene7733,LOC106919087,ENSPMEG00000003266,sp|Q8IWT1|SCN4B_HUMAN,11.91903197,1.562868421,0.656185402,2.38174823,0.017230673,0.0908431,Sodium channel subunit beta-4 OS=Homo sapiens GN=SCN4B PE=1 SV=1
gene1812,ccdc178,ENSPMEG00000023722,sp|Q5BJE1|CC178_HUMAN,2.84716423,4.982883731,2.092180449,2.381670154,0.017234327,0.0908431,Coiled-coil domain-containing protein 178 OS=Homo sapiens GN=CCDC178 PE=2 SV=3
gene2575,hykk,ENSPMEG00000018765,sp|A2RU49|HYKK_HUMAN,32.79135184,-0.649920757,0.272914927,-2.381404214,0.017246775,0.090886137,Hydroxylysine kinase OS=Homo sapiens GN=HYKK PE=1 SV=2
gene22037,LOC106903456,ENSPMEG00000020569,sp|P00533|EGFR_HUMAN,1859.206679,0.473749319,0.19896712,2.381043248,0.017263685,0.090952655,Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2
gene1982,fam43a,ENSPMEG00000017020,sp|Q8N2R8|FA43A_HUMAN,463.6338664,-0.525785921,0.220843291,-2.380810028,0.017274618,0.090961627,Protein FAM43A OS=Homo sapiens GN=FAM43A PE=2 SV=2
gene5414,aicda,ENSPMEG00000024203,sp|Q9GZX7|AICDA_HUMAN,9.395973845,-2.319985766,0.974483985,-2.380732574,0.01727825,0.090961627,Single-stranded DNA cytosine deaminase OS=Homo sapiens GN=AICDA PE=1 SV=1
gene12183,LOC106923931,NA,sp|Q96LT7|CI072_HUMAN,216.0977636,0.583866995,0.245236828,2.380829176,0.01727372,0.090961627,Protein C9orf72 OS=Homo sapiens GN=C9orf72 PE=1 SV=2
gene11547,LOC106923232,ENSPMEG00000020852,sp|Q96EV8|DTBP1_HUMAN,14.22116242,-1.172643622,0.492581807,-2.380606847,0.017284148,0.090970101,Dysbindin OS=Homo sapiens GN=DTNBP1 PE=1 SV=1
gene23679,amdhd2,ENSPMEG00000006369,sp|Q9Y303|NAGA_HUMAN,442.033131,0.427158699,0.179465561,2.380170867,0.017304612,0.09105522,Putative N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens GN=AMDHD2 PE=1 SV=2
gene15290,tgfbrap1,ENSPMEG00000013168,sp|Q8WUH2|TGFA1_HUMAN,378.5046722,-0.282439224,0.118685234,-2.379733478,0.017325164,0.091140757,Transforming growth factor-beta receptor-associated protein 1 OS=Homo sapiens GN=TGFBRAP1 PE=1 SV=1
gene14791,idh3a,ENSPMEG00000014618,sp|P50213|IDH3A_HUMAN,50.64031821,0.855715718,0.359607375,2.379583336,0.017332223,0.091155293,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens GN=IDH3A PE=1 SV=1"
gene3731,LOC106914714,ENSPMEG00000021817,sp|Q9BW04|SARG_HUMAN,1596.580614,0.548508488,0.230532412,2.379311803,0.017344997,0.091199867,Specifically androgen-regulated gene protein OS=Homo sapiens GN=SARG PE=1 SV=2
gene6447,LOC106917685,ENSPMEG00000010507,sp|Q5VST9|OBSCN_HUMAN,192.1675586,-0.615289742,0.258625367,-2.379077311,0.017356035,0.091212694,Obscurin OS=Homo sapiens GN=OBSCN PE=1 SV=3
gene16532,LOC106928665,ENSPMEG00000013891,NA,101.4351129,-0.767588272,0.322631761,-2.37914665,0.017352771,0.091212694,NA
gene7332,prlr,ENSPMEG00000020237,sp|P16471|PRLR_HUMAN,1490.182543,-0.491991105,0.206809753,-2.378955043,0.017361793,0.091220358,Prolactin receptor OS=Homo sapiens GN=PRLR PE=1 SV=1
gene23981,LOC106905552,NA,NA,4.327879486,-2.472720126,1.03960246,-2.378524698,0.017382072,0.091304295,NA
gene5193,plcd4,ENSPMEG00000009769,sp|Q9BRC7|PLCD4_HUMAN,36.51204211,1.291632921,0.543106904,2.378229609,0.01739599,0.091353611,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 OS=Homo sapiens GN=PLCD4 PE=2 SV=1"
gene11873,LOC106923593,NA,sp|O95361|TRI16_HUMAN,27.58227686,0.708911864,0.298094706,2.378143083,0.017400073,0.091353611,Tripartite motif-containing protein 16 OS=Homo sapiens GN=TRIM16 PE=1 SV=3
gene11681,ccdc69,ENSPMEG00000017660,sp|Q04743|EMX2_HUMAN,55.46177974,0.678574946,0.285371126,2.377868273,0.017413045,0.091399101,Homeobox protein EMX2 OS=Homo sapiens GN=EMX2 PE=1 SV=2
gene25144,LOC106906811,ENSPMEG00000006145,sp|O75618|DEDD_HUMAN,215.6030486,-0.346505507,0.145775176,-2.376985688,0.017454765,0.091595425,Death effector domain-containing protein OS=Homo sapiens GN=DEDD PE=1 SV=1
gene26951,LOC106908741,ENSPMEG00000000283,sp|Q15717|ELAV1_HUMAN,465.2005386,0.357849399,0.150571825,2.376602649,0.017472899,0.091645247,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2
gene28355,LOC106910246,ENSPMEG00000012264,sp|P02008|HBAZ_HUMAN,162.5428532,0.912017475,0.383739307,2.376658993,0.017470231,0.091645247,Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2
gene19840,LOC106932215,NA,NA,126.1078534,1.533666341,0.645479426,2.376011192,0.017500932,0.091769593,NA
gene7021,pnpla7,ENSPMEG00000008385,sp|Q6ZV29|PLPL7_HUMAN,197.3649216,0.405444118,0.17066928,2.375612746,0.017519839,0.091846036,Patatin-like phospholipase domain-containing protein 7 OS=Homo sapiens GN=PNPLA7 PE=1 SV=3
gene2390,ppp1cb,ENSPMEG00000003805,sp|P62140|PP1B_HUMAN,199.8344481,0.352501186,0.14843388,2.374802752,0.01755833,0.092025083,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3
gene18586,lef1,ENSPMEG00000009432,sp|Q9UJU2|LEF1_HUMAN,47.68142292,0.948757299,0.399577507,2.374401166,0.017577441,0.092102493,Lymphoid enhancer-binding factor 1 OS=Homo sapiens GN=LEF1 PE=1 SV=1
gene28466,LOC106910368,ENSPMEG00000009716,sp|Q92896|GSLG1_HUMAN,21.32288493,-1.138787023,0.4798156,-2.373384742,0.017625893,0.092333568,Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2
gene8701,gfi1,ENSPMEG00000013694,sp|Q99684|GFI1_HUMAN,35.60166591,-0.766255629,0.32296823,-2.372541807,0.017666164,0.092521681,Zinc finger protein Gfi-1 OS=Homo sapiens GN=GFI1 PE=1 SV=2
gene16972,LOC106929144,ENSPMEG00000021365,NA,23.25005918,-1.311126011,0.552809144,-2.371751671,0.017703985,0.092696877,NA
gene15271,LOC106927298,NA,NA,12.8218327,-1.218200265,0.513693164,-2.371455085,0.0177182,0.092748417,NA
gene7513,lrp10,ENSPMEG00000014341,sp|Q9Y561|LRP12_HUMAN,1197.220269,0.268278391,0.113138446,2.371239834,0.017728523,0.092776568,Low-density lipoprotein receptor-related protein 12 OS=Homo sapiens GN=LRP12 PE=1 SV=1
gene11298,LOC106922961,NA,sp|O14770|MEIS2_HUMAN,85.53918453,0.805340373,0.339639741,2.371160606,0.017732324,0.092776568,Homeobox protein Meis2 OS=Homo sapiens GN=MEIS2 PE=1 SV=2
gene472,LOC106915904,NA,sp|Q8NEJ0|DUS18_HUMAN,17.46148346,1.228108127,0.517955426,2.37106914,0.017736713,0.092776652,Dual specificity protein phosphatase 18 OS=Homo sapiens GN=DUSP18 PE=1 SV=1
gene20285,tmem79,ENSPMEG00000013958,sp|Q9BSE2|TMM79_HUMAN,329.55449,0.522820858,0.220549914,2.370533037,0.017762456,0.09284264,Transmembrane protein 79 OS=Homo sapiens GN=TMEM79 PE=1 SV=1
gene2084,prkd2,ENSPMEG00000014173,sp|Q9BZL6|KPCD2_HUMAN,949.2074653,0.450525852,0.190050294,2.370561194,0.017761104,0.09284264,Serine/threonine-protein kinase D2 OS=Homo sapiens GN=PRKD2 PE=1 SV=2
gene13257,rfxank,ENSPMEG00000024111,sp|O14593|RFXK_HUMAN,39.22578811,0.727616425,0.306919064,2.370711077,0.017753903,0.09284264,DNA-binding protein RFXANK OS=Homo sapiens GN=RFXANK PE=1 SV=2
gene20991,cpsf4,ENSPMEG00000009790,sp|O95639|CPSF4_HUMAN,207.3717408,-0.444334528,0.187478738,-2.370052911,0.01778554,0.092933958,Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens GN=CPSF4 PE=1 SV=1
gene4513,emc1,ENSPMEG00000015250,sp|Q8N766|EMC1_HUMAN,680.1230001,-0.358459695,0.151249616,-2.369987474,0.017788688,0.092933958,ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1
gene13104,tceanc,NA,sp|Q8N8B7|TEANC_HUMAN,36.41344318,-0.857071546,0.361705801,-2.369526682,0.01781087,0.093026937,Transcription elongation factor A N-terminal and central domain-containing protein OS=Homo sapiens GN=TCEANC PE=1 SV=2
gene13341,LOC106925216,ENSPMEG00000022016,sp|P57078|RIPK4_HUMAN,958.6104103,0.321058142,0.135522226,2.369044189,0.017834123,0.09312546,Receptor-interacting serine/threonine-protein kinase 4 OS=Homo sapiens GN=RIPK4 PE=1 SV=1
gene6652,LOC106917906,ENSPMEG00000022988,sp|P51153|RAB13_HUMAN,217.4196144,0.448608554,0.189396003,2.36862735,0.017854233,0.093207529,Ras-related protein Rab-13 OS=Homo sapiens GN=RAB13 PE=1 SV=1
gene9129,b3gnt5,ENSPMEG00000018507,sp|Q9BYG0|B3GN5_HUMAN,393.7283009,-0.344416833,0.145417552,-2.368468101,0.017861921,0.093224725,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase OS=Homo sapiens GN=B3GNT5 PE=1 SV=1"
gene26075,LOC106907803,NA,NA,23.98541726,1.258990487,0.531653519,2.368065748,0.017881358,0.093303219,NA
gene18371,LOC106930624,NA,sp|Q6ZQX7|LIAT1_HUMAN,312.792933,0.47074176,0.198806405,2.36784001,0.017892271,0.093337208,Protein LIAT1 OS=Homo sapiens GN=LIAT1 PE=2 SV=2
gene8293,scg3,ENSPMEG00000007461,sp|Q8WXD2|SCG3_HUMAN,56.30061753,0.827766013,0.349841955,2.366114186,0.017975899,0.093727372,Secretogranin-3 OS=Homo sapiens GN=SCG3 PE=1 SV=3
gene18894,LOC106931178,ENSPMEG00000018824,sp|Q9BQD7|F173A_HUMAN,87.79239759,-0.571855443,0.241681871,-2.36614952,0.017974184,0.093727372,Protein FAM173A OS=Homo sapiens GN=FAM173A PE=2 SV=1
gene13396,gab1,ENSPMEG00000020070,sp|Q13480|GAB1_HUMAN,368.4354376,0.385873805,0.163101902,2.365844913,0.017988978,0.093772521,GRB2-associated-binding protein 1 OS=Homo sapiens GN=GAB1 PE=1 SV=2
gene15266,LOC106927289,ENSPMEG00000014017,sp|Q9NY97|B3GN2_HUMAN,40.92366602,0.729646279,0.308502589,2.365122065,0.018024129,0.093881983,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 OS=Homo sapiens GN=B3GNT2 PE=1 SV=2"
gene6268,ezh1,ENSPMEG00000015221,sp|Q92800|EZH1_HUMAN,303.4944879,0.310137446,0.131131438,2.365088419,0.018025767,0.093881983,Histone-lysine N-methyltransferase EZH1 OS=Homo sapiens GN=EZH1 PE=1 SV=2
gene31428,LOC106913510,NA,sp|Q7RTR2|NLRC3_HUMAN,253.9835011,-0.777852041,0.328877267,-2.365174247,0.01802159,0.093881983,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene1978,LOC106932706,NA,sp|O60313|OPA1_HUMAN,36.63831989,0.862659331,0.364765338,2.364970688,0.018031498,0.093881983,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3"
gene355,lhfp,NA,sp|Q9Y693|LHFP_HUMAN,250.3397317,0.31686794,0.133984579,2.36495828,0.018032102,0.093881983,Lipoma HMGIC fusion partner OS=Homo sapiens GN=LHFP PE=2 SV=1
gene19247,LOC106931560,NA,sp|Q8N126|CADM3_HUMAN,29.3481452,-0.994488861,0.420781677,-2.363431952,0.018106552,0.094246467,Cell adhesion molecule 3 OS=Homo sapiens GN=CADM3 PE=1 SV=1
gene25644,LOC106907327,ENSPMEG00000008274,sp|Q96T23|RSF1_HUMAN,128.5741469,-0.303927364,0.12860734,-2.363219426,0.018116939,0.094277405,Remodeling and spacing factor 1 OS=Homo sapiens GN=RSF1 PE=1 SV=2
gene29793,LOC106911804,NA,sp|Q2M3M2|SC5A9_HUMAN,23.73749795,-0.711285286,0.301098442,-2.362301448,0.018161867,0.094488028,Sodium/glucose cotransporter 4 OS=Homo sapiens GN=SLC5A9 PE=1 SV=2
gene6114,ttc26,ENSPMEG00000000472,sp|A0AVF1|IFT56_HUMAN,56.70243439,0.583107741,0.246871456,2.361989313,0.018177166,0.094544437,Intraflagellar transport protein 56 OS=Homo sapiens GN=TTC26 PE=2 SV=1
gene9801,LOC106921362,ENSPMEG00000016822,sp|P23276|KELL_HUMAN,261.1164314,0.859228376,0.363868273,2.361372068,0.018207453,0.094678755,Kell blood group glycoprotein OS=Homo sapiens GN=KEL PE=1 SV=2
gene3389,pnisr,ENSPMEG00000004240,sp|Q8TF01|PNISR_HUMAN,425.4743861,0.824389982,0.349176408,2.360955564,0.018227915,0.09476193,Arginine/serine-rich protein PNISR OS=Homo sapiens GN=PNISR PE=1 SV=2
gene25069,LOC106906717,NA,sp|Q7RTR2|NLRC3_HUMAN,58.37335953,0.994177147,0.421189327,2.360404416,0.018255022,0.094879605,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene20380,LOC106932807,ENSPMEG00000007844,sp|Q9UNQ0|ABCG2_HUMAN,226.340031,-0.654549613,0.277365355,-2.359882373,0.01828073,0.09492021,ATP-binding cassette sub-family G member 2 OS=Homo sapiens GN=ABCG2 PE=1 SV=3
gene9096,LOC106920565,ENSPMEG00000019568,sp|Q8N584|TT39C_HUMAN,217.6974442,0.421549342,0.178622175,2.360005641,0.018274657,0.09492021,Tetratricopeptide repeat protein 39C OS=Homo sapiens GN=TTC39C PE=2 SV=2
gene18845,LOC106931131,ENSPMEG00000020421,sp|Q8TCB0|IFI44_HUMAN,102.8125153,-1.646793661,0.697766382,-2.360093155,0.018270347,0.09492021,Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2
gene31338,LOC106913413,NA,sp|Q9UIR0|BTNL2_HUMAN,8.703558674,-1.20064127,0.508757517,-2.359947973,0.018277498,0.09492021,Butyrophilin-like protein 2 OS=Homo sapiens GN=BTNL2 PE=2 SV=1
gene11360,plekhj1,ENSPMEG00000009527,sp|Q9NW61|PKHJ1_HUMAN,492.4745616,-0.299315327,0.126842563,-2.359738882,0.018287802,0.094933696,Pleckstrin homology domain-containing family J member 1 OS=Homo sapiens GN=PLEKHJ1 PE=2 SV=1
gene18380,sec24d,ENSPMEG00000016096,sp|O94855|SC24D_HUMAN,356.5419184,-0.36818479,0.156117542,-2.358381939,0.018354797,0.095258165,Protein transport protein Sec24D OS=Homo sapiens GN=SEC24D PE=1 SV=2
gene15480,LOC106927530,ENSPMEG00000007436,sp|Q8NHH9|ATLA2_HUMAN,164.0162981,0.430035241,0.182400752,2.357639621,0.018391538,0.095425499,Atlastin-2 OS=Homo sapiens GN=ATL2 PE=1 SV=2
gene15311,papd5,NA,sp|Q5XG87|PAPD7_HUMAN,414.6351877,-0.417836474,0.177303431,-2.356618089,0.018442203,0.095664982,Non-canonical poly(A) RNA polymerase PAPD7 OS=Homo sapiens GN=PAPD7 PE=1 SV=3
gene18487,mocos,ENSPMEG00000012600,sp|Q96EN8|MOCOS_HUMAN,21.29352774,-0.84522148,0.35867596,-2.356504406,0.018447849,0.095670877,Molybdenum cofactor sulfurase OS=Homo sapiens GN=MOCOS PE=1 SV=2
gene20622,LOC106933066,ENSPMEG00000001656,sp|Q6PEY1|TMM88_HUMAN,10.55690018,1.798647635,0.763421435,2.356035019,0.018471176,0.095768445,Transmembrane protein 88 OS=Homo sapiens GN=TMEM88 PE=1 SV=1
gene23080,mafk,ENSPMEG00000002391,sp|O60675|MAFK_HUMAN,77.62254648,1.122425034,0.476502229,2.355550439,0.018495286,0.095870019,Transcription factor MafK OS=Homo sapiens GN=MAFK PE=1 SV=1
gene21506,LOC106934019,NA,sp|A6NNB3|IFM5_HUMAN,25.46362801,-1.014131259,0.430556733,-2.355395192,0.018503016,0.09588666,Interferon-induced transmembrane protein 5 OS=Homo sapiens GN=IFITM5 PE=1 SV=1
